Diagnosis,Resep Obat
Anemia,"vitamin B12"
Anemia,"Suplemen zat besi"
Anemia,"asam folat"
Malaria,"kina"
Malaria,"Klorokuin"
Malaria,"Klorokuin"
Cacingan,"pirantel pamoat"
Cacingan,"Mebendazole"
Cacingan,"albendazole"
Diare,"metronidazole"
Diare,"Oralit"
Diare,"loperamide"
Demam Berdarah Dengue (DBD),"istirahat"
Demam Berdarah Dengue (DBD),"Parasetamol"
Demam Berdarah Dengue (DBD),"cairan infus"
Tifus,"ceftriaxone"
Tifus,"Ciprofloxacin"
Tifus,"azithromycin"
Influenza,"dekongestan"
Influenza,"Parasetamol"
Influenza,"ibuprofen"
Faringitis,"acetaminophen"
Faringitis,"Amoxicillin"
Faringitis,"cefadroxil"
Bronkitis,"bronkodilator"
Bronkitis,"Amoxicillin"
Bronkitis,"azithromycin"
Pneumonia,"ceftriaxone"
Pneumonia,"Amoxicillin"
Pneumonia,"azithromycin"
Asma,"ipratropium bromide"
Asma,"Salbutamol"
Asma,"budesonide"
Gagal Jantung,"ACE inhibitor"
Gagal Jantung,"Diuretik"
Gagal Jantung,"beta-blocker"
Hipertensi,"losartan"
Hipertensi,"Amlodipine"
Hipertensi,"lisinopril"
Diabetes Melitus,"insulin"
Diabetes Melitus,"Metformin"
Diabetes Melitus,"glibenclamide"
Dislipidemia,"ezetimibe"
Dislipidemia,"Simvastatin"
Dislipidemia,"atorvastatin"
Kolesterol Tinggi,"rosuvastatin"
Kolesterol Tinggi,"Simvastatin"
Kolesterol Tinggi,"atorvastatin"
Batu Ginjal,"ibuprofen"
Batu Ginjal,"Allopurinol"
Batu Ginjal,"tamsulosin"
Gagal Ginjal Kronis,"vitamin D"
Gagal Ginjal Kronis,"Furosemid"
Gagal Ginjal Kronis,"calcium acetate"
Osteoartritis,"glukosamin"
Osteoartritis,"NSAID"
Osteoartritis,"paracetamol"
Rematik,"ibuprofen"
Rematik,"Metotreksat"
Rematik,"prednison"
Sakit Pinggang (Lumbago),"diazepam"
Sakit Pinggang (Lumbago),"Paracetamol"
Sakit Pinggang (Lumbago),"ibuprofen"
Alergi Kulit,"loratadine"
Alergi Kulit,"Cetirizine"
Alergi Kulit,"hydrocortisone cream"
Dermatitis Kontak,"cetirizine"
Dermatitis Kontak,"Hydrocortisone cream"
Dermatitis Kontak,"betamethasone"
Infeksi Jamur Kulit (Tinea),"terbinafine"
Infeksi Jamur Kulit (Tinea),"Ketoconazole"
Infeksi Jamur Kulit (Tinea),"clotrimazole"
Varicella (Cacar Air),"parasetamol"
Varicella (Cacar Air),"Asiklovir"
Varicella (Cacar Air),"calamine lotion"
Measles (Campak),"parasetamol"
Measles (Campak),"Vitamin A"
Measles (Campak),"antihistamin"
Gondongan,"ibuprofen"
Gondongan,"Istirahat"
Gondongan,"parasetamol"
Otitis Media,"tetes telinga"
Otitis Media,"Amoxicillin"
Otitis Media,"ibuprofen"
Konjungtivitis,"tetes mata antihistamin"
Konjungtivitis,"Tetes mata antibiotik"
Katarak,"Tidak ada obat, intervensi bedah"
Glaukoma,"acetazolamide"
Glaukoma,"Timolol tetes mata"
Glaukome,"latanoprost"
Sinusitis,"dekongestan"
Sinusitis,"Amoxicillin"
Sinusitis,"ibuprofen"
Gigi Berlubang,"pengobatan gigi"
Gigi Berlubang,"Amoxicillin"
Gigi Berlubang,"ibuprofen"
Gangguan Cemas,"fluoxetine"
Gangguan Cemas,"Alprazolam"
Gangguan Cemas,"diazepam"
Depresi,"escitalopram"
Depresi,"Fluoxetine"
Depresi,"sertraline"
Skizofrenia,"olanzapine"
Skizofrenia,"Risperidone"
Skizofrenia,"haloperidol"
Demensia,"rivastigmine"
Demensia,"Donepezil"
Demensia,"memantine"
Epilepsi,"fenitoin"
Epilepsi,"Asam valproat"
Epilepsi,"carbamazepine"
Sakit Kepala Tegang,"amitriptyline"
Sakit Kepala Tegang,"Parasetamol"
Sakit Kepala Tegang,"ibuprofen"
Migrain,"parasetamol"
Migrain,"Sumatriptan"
Migrain,"ergotamin"
Gastroenteritis,"ciprofloxacin"
Gastroenteritis,"Oralit"
Gastroenteritis,"loperamide"
Dispepsia,"antasida"
Dispepsia,"Ranitidine"
Dispepsia,"omeprazole"
Tukak Lambung,"amoxicillin"
Tukak Lambung,"Omeprazole"
Tukak Lambung,"ranitidine"
Sindrom Iritasi Usus,"antispasmodik"
Sindrom Iritasi Usus,"Loperamide"
Sindrom Iritasi Usus,"dicyclomine"
Hemoroid,"hydrocortisone cream"
Hemoroid,"Lidocaine cream"
Hemoroid,"supositoria"
Hepatitis A,"parasetamol"
Hepatitis A,"Istirahat"
Hepatitis A,"vitamin"
Gout (Asam Urat),"NSAID"
Gout (Asam Urat),"Allopurinol"
Gout (Asam Urat),"colchicine"
Sifilis,"doxycycline"
Sifilis,"Benzathine penicillin G"
Gonore,"azithromycin"
Gonore,"Ceftriaxone"
Vaginitis,"miconazole"
Vaginitis,"Metronidazole"
Vaginitis,"clindamycin"
Kanker Payudara,"radioterapi"
Kanker Payudara,"Tamoxifen"
Kanker Payudara,"kemoterapi"
Kanker Serviks,"pembedahan"
Kanker Serviks,"Kemoterapi"
Kanker Serviks,"radioterapi"
Obesitas,"diet dan olahraga"
Obesitas,"Orlistat"
Obesitas,"sibutramine"
Cacar Monyet (Monkeypox),"Tidak ada pengobatan khusus, simtomatik"
